File created on: 2023-11-06 22:41:05
File created on code in factory_simulation.jl
ParametersParameters(1, 60.0, 25.0, 2880.0, 180.0)
time,event_id,event_type,length_event_list,length_queue,in_service,machine_status
0.000,0,Arrival,1,0,0,0
25.000,1,Departure,2,0,1,0
40.499,2,Arrival,1,0,0,0
51.694,3,Arrival,2,0,1,0
65.499,4,Departure,2,1,1,0
90.499,5,Departure,2,0,1,0
117.235,6,Arrival,1,0,0,0
142.235,7,Departure,2,0,1,0
150.000,8,Breakdown,1,0,0,0
182.987,9,Arrival,1,0,0,1
209.096,10,Arrival,1,1,0,1
378.339,11,Arrival,1,2,0,1
449.016,12,Arrival,1,3,0,1
450.529,13,Arrival,1,4,0,1
471.849,14,Arrival,1,5,0,1
494.568,15,Arrival,1,6,0,1
515.349,16,Arrival,1,7,0,1
643.668,17,Arrival,1,8,0,1
665.480,18,Arrival,1,9,0,1
666.409,19,Arrival,1,10,0,1
722.645,20,Arrival,1,11,0,1
730.587,21,RepairCompletion,1,12,0,1
755.587,22,Departure,2,11,1,0
764.182,23,Arrival,2,10,1,0
780.587,24,Departure,2,11,1,0
784.191,25,Arrival,2,10,1,0
805.587,26,Departure,2,11,1,0
813.207,27,Arrival,2,10,1,0
830.587,28,Departure,2,11,1,0
850.963,29,Arrival,2,10,1,0
855.587,30,Departure,2,11,1,0
880.587,31,Departure,2,10,1,0
905.587,32,Departure,2,9,1,0
930.587,33,Departure,2,8,1,0
933.285,34,Arrival,2,7,1,0
955.587,35,Departure,2,8,1,0
980.587,36,Departure,2,7,1,0
983.767,37,Arrival,2,6,1,0
1005.587,38,Departure,2,7,1,0
